383,347,366,121,140
384,90,109,122,140
385,138,156,122,139
386,174,198,122,146
387,227,248,122,141
388,245,261,122,138
389,320,338,122,141
390,623,640,122,140
391,638,656,122,142
392,652,668,122,140
393,667,684,123,141
394,1,19,124,139
395,289,311,124,144
396,454,474,124,143
397,499,517,124,141
398,529,544,124,139
399,577,595,124,141
400,63,78,125,149
401,415,437,125,144
402,472,488,125,140
403,49,64,126,140
404,75,93,129,150
405,393,415,129,165
406,435,457,132,153
407,14,33,133,153
408,153,175,133,154
409,260,278,133,152
410,486,504,133,150
411,565,579,133,152
412,592,610,133,149
413,608,627,133,152
414,214,232,134,157
415,311,330,134,153
416,514,533,134,157
417,31,47,135,153
418,275,295,135,155
419,328,349,135,156
420,533,553,135,156
421,44,65,136,154
422,105,122,136,152
423,122,139,136,154
424,186,202,136,156
425,656,672,136,153
426,243,263,137,157
427,552,569,137,155
428,624,642,137,156
429,1,17,138,154
430,136,155,138,156
431,201,215,138,156
432,348,367,138,155
433,366,385,138,156
434,416,439,138,156
435,89,107,139,154
436,227,247,139,159
437,303,328,139,160
438,384,402,139,157
439,470,490,139,156
440,640,658,139,157
441,671,684,139,153
442,501,516,140,156
443,575,595,140,156
444,170,190,141,160
445,452,471,141,157
446,59,77,142,164
447,292,307,142,156
448,407,420,144,163
449,74,92,146,168
450,353,375,147,168
451,271,290,148,168
452,593,612,148,164
453,486,505,149,168
454,14,33,150,167
455,28,46,150,171
456,88,109,150,169
457,104,126,150,170
458,147,165,150,171
459,254,275,150,173
460,305,324,150,169
461,322,339,150,168
462,526,547,150,169
463,564,579,150,169
464,132,148,151,170
465,436,453,151,169
466,501,523,151,172
467,608,626,151,168
468,119,139,152,173
469,195,212,152,172
470,546,565,152,171
471,654,672,152,169
472,1,20,153,171
473,45,64,153,169
474,163,183,153,174
475,211,227,153,173
476,225,245,153,174
477,287,309,153,173
478,336,355,153,174
479,387,409,153,174
480,415,437,153,175
481,671,684,153,167
482,182,196,154,171
483,578,595,154,169
484,624,641,154,170
485,241,259,155,176
486,369,390,155,177
487,470,489,155,172
488,640,655,155,170
489,449,473,156,178
490,514,533,156,177
491,406,429,160,189
492,61,79,163,180
493,591,611,163,184
494,11,29,164,183
495,87,109,164,185
496,272,292,165,184
497,350,375,165,187
498,137,153,166,183
499,321,341,166,186
500,482,503,166,189
501,573,594,166,187
502,669,684,166,180
503,26,44,167,186
504,73,91,167,186
505,305,324,167,190
506,429,452,167,187
507,529,548,167,189
508,560,575,167,189
509,609,626,167,182
510,152,169,168,183
511,655,670,168,182
512,44,65,169,187
513,105,122,169,186
514,168,188,169,187
515,186,200,169,182
516,498,520,169,194
517,547,560,169,186
518,641,657,169,185
519,1,12,170,182
520,121,140,170,187
521,199,214,170,184
522,227,246,170,187
523,466,484,170,189
524,624,642,170,187
525,214,229,171,186
526,256,278,171,192
527,387,412,171,196
528,289,307,172,190
529,245,257,173,185
530,333,354,174,196
531,514,537,175,198
532,369,391,176,199
533,449,468,176,195
534,412,440,177,203
535,61,76,179,194
536,667,684,179,199
537,1,18,180,199
538,32,51,180,203
539,650,668,180,199
540,16,33,181,199
541,606,628,181,206
542,136,153,182,199
543,152,170,182,200
544,184,200,182,197
545,211,227,182,199
546,576,596,182,207
547,593,610,182,206
548,88,107,183,201
549,106,125,183,201
550,197,213,183,201
551,275,294,183,203
552,317,336,184,205
553,348,371,184,206
554,638,652,184,201
555,49,65,185,201
556,72,90,185,202
557,226,244,185,202
558,243,263,185,202
559,293,311,185,202
560,437,460,185,208
561,545,565,185,209
562,124,139,186,201
563,169,187,186,202
564,562,584,187,214
565,625,642,187,205
566,304,320,188,205
567,460,483,188,215
568,483,503,188,214
569,260,282,189,208
570,529,549,189,213
571,403,424,190,213
572,58,78,193,212
573,328,352,193,211
574,365,387,194,210
575,387,405,194,210
576,499,521,194,221
577,217,232,195,212
578,16,34,196,218
579,281,305,196,215
580,445,472,196,220
581,30,46,197,218
582,138,156,197,216
583,155,172,197,216
584,183,202,197,215
585,648,667,197,215
586,1,20,198,217
587,92,108,198,216
588,199,225,198,221
589,423,446,198,219
590,518,537,198,222
591,666,684,198,215
592,44,61,199,217
593,75,93,199,218
594,107,124,200,217
595,122,139,200,218
596,302,329,200,220
597,168,186,201,219
598,227,245,201,216
599,243,263,201,219
600,637,651,201,217
601,615,640,202,223
602,587,606,203,226
603,348,370,204,213
604,375,400,204,213
605,567,594,205,231
606,600,621,205,231
607,261,281,207,224
608,545,568,208,230
609,58,78,209,229
610,278,302,209,226
611,320,343,209,224
612,357,380,209,220
613,399,416,209,220
614,488,510,209,229
615,338,359,210,219
616,179,199,211,232
617,366,391,211,225
618,389,406,211,220
619,413,434,211,225
620,471,490,211,232
621,528,550,211,229
622,32,52,212,230
623,150,165,212,233
624,214,233,212,236
625,133,152,213,233
626,650,668,213,229
627,16,34,214,231
628,90,107,214,233
629,433,456,214,228
630,666,684,214,233
631,73,90,215,231
632,158,183,215,237
633,231,247,215,235
634,297,321,215,229
635,634,654,215,237
636,1,16,216,230
637,47,69,216,236
638,106,122,216,232
639,455,474,216,237
640,120,136,217,235
641,195,217,217,241
642,335,362,217,228
643,243,264,218,238
644,313,337,218,237
645,377,400,218,232
646,397,416,218,229
647,510,531,218,232
648,351,379,219,233
649,408,430,219,231
650,557,577,219,235
651,615,638,221,243
652,260,282,222,238
653,494,518,222,231
654,278,297,223,236
655,425,442,223,232
656,439,460,224,236
657,589,607,224,241
658,331,353,225,244
659,295,319,226,238
660,365,388,226,248
661,469,484,226,238
662,526,542,226,234
663,384,409,227,256
664,403,423,227,247
665,541,560,227,237
666,31,50,228,248
667,73,94,228,247
668,455,473,228,248
669,483,501,228,237
670,646,669,228,249
671,61,75,229,245
672,108,126,229,247
673,183,203,229,247
674,575,596,229,240
675,606,619,229,243
676,1,16,230,245
677,14,32,230,249
678,135,157,230,251
679,318,334,230,246
680,342,367,230,247
681,421,446,230,243
682,500,518,230,236
683,517,535,230,235
684,93,109,231,247
685,558,580,231,241
686,153,170,232,255
687,262,284,232,245
688,482,502,232,245
689,668,684,232,247
690,231,246,233,251
691,242,264,233,249
692,288,310,233,243
693,412,432,233,254
694,498,516,233,246
695,535,559,233,241
696,48,62,234,247
697,120,139,234,255
698,170,188,234,256
699,211,233,234,259
700,445,460,234,248
701,470,485,234,242
702,514,534,234,240
703,627,648,234,251
704,270,293,235,252
705,533,556,235,246
706,556,584,235,245
707,580,599,235,250
708,299,320,237,250
709,599,615,237,246
710,483,504,238,263
711,516,537,238,258
712,198,218,240,260
713,428,442,240,257
714,592,611,240,251
715,274,302,241,256
716,430,456,241,268
717,452,473,241,264
718,470,487,241,259
719,502,521,241,265
720,569,590,241,254
721,610,630,241,255
722,321,338,242,255
723,335,355,242,257
724,369,387,242,264
725,532,553,242,258
726,551,573,242,256
727,59,76,243,261
728,246,271,243,260
729,1,18,244,259
730,89,105,244,264
731,350,374,244,266
732,74,91,245,262
733,103,125,245,267
734,308,327,245,270
735,587,607,245,263
736,47,60,246,257
737,181,204,246,267
738,666,684,246,265
739,30,49,247,264
740,291,309,247,263
741,399,419,247,270
742,646,670,247,272
743,16,30,248,262
744,222,247,248,267
745,599,623,248,263
746,613,629,248,270
747,630,650,248,266
748,252,278,249,267
749,135,156,250,272
750,214,239,250,271
751,382,400,250,263
752,458,488,250,277
753,542,570,250,267
754,272,302,251,280
755,570,597,251,272
756,150,170,253,277
757,319,352,253,274
758,413,436,253,276
759,168,187,254,280
760,627,641,254,278
761,119,140,255,278
762,514,535,255,278
763,45,63,256,273
764,566,586,256,274
765,61,80,257,275
766,524,543,257,282
767,605,625,257,275
768,1,19,258,276
769,78,99,258,276
770,200,220,258,272
771,224,253,258,277
772,299,318,258,277
773,542,562,259,284
774,360,385,260,281
775,501,520,260,280
776,18,31,261,274
777,378,394,261,278
778,475,502,261,284
779,588,615,261,286
780,28,48,262,279
781,96,118,262,283
782,255,276,262,282
783,343,370,262,286
784,385,405,262,280
785,455,471,262,283
786,662,684,262,278
787,639,664,263,282
788,231,258,264,282
789,444,461,264,290
790,558,579,264,290
791,184,202,265,279
792,420,447,265,284
793,205,227,266,282
794,115,125,267,279
795,326,344,267,285
